Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2024-09-10 10:06:00,MCL,SELL,67.49,67.49,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.09|A5:0.22|RV:4.58,CLOSED_WIN,630,630,,,,,,1.77,264110.0,74.4,2933026.0,-10.0,MCL
2024-09-12 03:28:00,MCL,BUY,68.38,68.38,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.26|A5:0.08|RV:3.69,CLOSED_WIN,630,630,,,,,,2.34,364933.0,74.38,3007496.0,-6.03,MCL
2024-09-19 03:01:00,MCL,BUY,70.56,70.56,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.08|A5:0.07|RV:4.31,CLOSED_WIN,630,630,,,,,,1.75,85470.0,74.39,3114396.0,-2.21,MCL
2024-09-24 11:47:00,MCL,SELL,71.24,71.24,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.07|A5:0.2|RV:0.36,CLOSED_LOSS,-645,-645,,,,,,2.32,323618.0,74.48,3081782.0,-1.6,MCL
2024-09-25 12:20:00,MCL,SELL,69.49,69.49,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.76|A5:0.27|RV:12.17,CLOSED_LOSS,-390,-390,,,,,,1.34,297022.0,74.51,3110922.0,-4.07,MCL
2024-09-30 06:56:00,MCL,SELL,67.85,67.85,,,,Lon_Brk_S,,Lon_Brk_S|Rng:1.4|A5:0.15|RV:6.85,CLOSED_LOSS,-1035,-1035,,,,,,1.11,26350.0,74.57,3183446.0,-6.24,MCL
2024-10-02 11:00:00,MCL,SELL,70.86,70.86,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.55|A5:0.28|RV:0.82,CLOSED_WIN,630,630,,,,,,5.61,639872.0,74.63,3450592.0,-2.51,MCL
2024-10-07 03:09:00,MCL,BUY,74.62,74.62,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.34|A5:0.09|RV:2.18,CLOSED_WIN,630,630,,,,,,0.85,20193.0,74.77,3674602.0,5.93,MCL
2024-10-08 05:01:00,MCL,SELL,75.16,75.16,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.95|A5:0.2|RV:5.56,CLOSED_LOSS,-1035,-1035,,,,,,4.4,407477.0,74.8,3796454.0,1.32,MCL
2024-10-09 09:11:00,MCL,SELL,72.78,72.78,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.59|A5:0.22|RV:4.01,CLOSED_WIN,630,630,,,,,,3.49,427955.0,74.83,3860392.0,0.56,MCL
