Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2026-01-13 13:00:00,MGC,BUY,4598.9,4598.9,,,,LP_Rev_L,,LP_Rev_L|Rng:19.3|A5:6.77|RV:2.08|VwP:-0.22|RSI:26.12,CLOSED_WIN,18,18,,,,,,63.6,233965.0,337.41,11175280.0,24.96,MGC
2026-01-13 20:01:00,MGC,BUY,4620.9,4620.9,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:3.86|RV:6.86|VwP:0.25|RSI:72.62,CLOSED_WIN,630,630,,,,,,63.6,233965.0,337.41,11175280.0,24.96,MGC
2026-01-14 21:51:00,MGC,SELL,4605.0,4605.0,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:6.46|RV:0.65|VwP:-0.13|RSI:35.87,CLOSED_WIN,630,630,,,,,,67.3,251160.0,338.12,11319832.0,25.97,MGC
2026-01-20 09:01:00,MGC,BUY,4746.6,4746.6,,,,Lon_BO_L_E,,Lon_BO_L_E|Rng:78.1|A5:5.7|RV:2.57|VwP:1.18|RSI:73.82,CLOSED_WIN,627,627,,,,,,46.1,190909.0,339.47,11648040.0,24.1,MGC
2026-01-20 20:02:00,MGC,BUY,4792.8,4792.8,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.23|RV:2.7|VwP:0.27|RSI:63.22,CLOSED_WIN,630,630,,,,,,46.1,190909.0,339.47,11648040.0,24.1,MGC
2026-01-22 11:40:00,MGC,SELL,4885.1,4885.1,,,,V2_Rev_S,,V2_Rev_S|Rng:24.4|A5:7.22|RV:0.85|VwP:1.29|RSI:65.19,CLOSED_WIN,630,630,,,,,,134.0,349300.0,341.86,12709654.0,32.16,MGC
2026-01-23 11:31:00,MGC,SELL,4985.7,4985.7,,,,V2_Rev_S,,V2_Rev_S|Rng:47.4|A5:7.87|RV:0.86|VwP:0.81|RSI:70.3,CLOSED_WIN,632,632,,,,,,,,,,,MGC
2026-01-26 00:21:00,MGC,BUY,5054.5,5054.5,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:7.24|RV:1.67|VwP:-0.02|RSI:37.74,CLOSED_WIN,630,630,,,,,,80.6,69551.0,343.73,13339224.0,35.19,MGC
2026-01-26 20:12:00,MGC,BUY,5057.1,5057.1,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:11.13|RV:2.18|VwP:0.45|RSI:72.52,CLOSED_WIN,630,630,,,,,,80.6,69551.0,343.73,13339224.0,35.19,MGC
2026-01-27 20:07:00,MGC,BUY,5191.5,5191.5,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:8.37|RV:5.59|VwP:0.45|RSI:76.28,CLOSED_LOSS,-896,-896,,,,,,124.3,377178.0,344.68,13582874.0,38.13,MGC
