Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2025-05-29,2025-05-29 09:05:00,Pit_Brk_S,SELL,1,495,33,1.55,0.14,3.8
2025-06-11,2025-06-11 20:31:00,Asia_Brk_S,SELL,1,495,43,1.82,0.19,1.9
2025-06-16,2025-06-16 10:02:00,Pit_Fade_L,BUY,1,490,0,2.65,0.46,4.84
2025-06-17,2025-06-17 21:02:00,Asia_Brk_S,SELL,1,165,61,2.0,0.15,4.0
2025-06-18,2025-06-18 10:16:00,Pit_Brk_S,SELL,1,495,4,1.65,0.41,3.25
2025-06-24,2025-06-24 09:17:00,Pit_Brk_S,SELL,0,-345,61,1.55,0.28,10.14
2025-09-03,2025-09-03 10:02:00,Pit_Brk_S,SELL,0,-60,61,1.51,0.14,7.83
2025-09-05,2025-09-05 10:58:00,Pit_Brk_S,SELL,1,255,61,1.74,0.17,4.35
2026-02-17,2026-02-17 10:23:00,Pit_Brk_S,SELL,1,495,12,1.82,0.22,0.6
2026-03-02,2026-03-02 11:50:00,Pit_Fade_L,BUY,1,495,4,2.23,0.42,5.05
2026-03-09,2026-03-09 11:24:00,Pit_Fade_L,BUY,1,496,41,8.66,1.36,1.99
2026-03-10,2026-03-10 10:37:00,Pit_Brk_S,SELL,1,498,4,5.83,0.98,1.49
2026-03-11,2026-03-11 10:01:00,Pit_Brk_S,SELL,0,-1015,0,5.6,0.89,2.3
2026-03-11,2026-03-11 10:02:00,Pit_Fade_L,BUY,1,497,0,5.6,0.89,1.08
2026-03-16,2026-03-16 09:33:00,Pit_Fade_L,BUY,1,495,3,6.5,0.57,1.29
2026-03-17,2026-03-17 09:01:00,Pit_Brk_S,SELL,1,135,12,2.8,0.38,5.36
2026-03-17,2026-03-17 09:13:00,Pit_Fade_L,BUY,0,-1035,33,2.8,0.43,1.1
2026-03-26,2026-03-26 20:04:00,Asia_Brk_S,SELL,0,-1035,18,2.54,0.26,3.01
2026-04-08,2026-04-08 09:04:00,Pit_Brk_S,SELL,0,-30,1,4.48,0.64,1.22
2026-04-08,2026-04-08 09:05:00,Pit_Fade_L,BUY,1,490,2,4.48,0.64,0.52
2026-04-09,2026-04-09 12:30:00,Pit_Fade_L,BUY,1,497,15,3.02,0.86,0.72
2026-04-13,2026-04-13 09:52:00,Pit_Fade_L,BUY,1,495,0,1.87,0.43,3.19
2026-04-14,2026-04-14 09:38:00,Pit_Brk_S,SELL,1,495,16,2.76,0.41,1.46
2026-04-14,2026-04-14 09:56:00,Pit_Fade_L,BUY,0,-1036,5,2.76,0.46,1.17
2026-04-17,2026-04-17 09:09:00,Pit_Brk_S,SELL,1,495,1,8.44,0.7,1.67
2026-04-17,2026-04-17 09:12:00,Pit_Fade_L,BUY,1,496,3,8.44,0.76,1.96
2026-04-20,2026-04-20 09:10:00,Pit_Fade_L,BUY,0,-1036,21,1.81,0.47,4.28
2026-04-24,2026-04-24 11:46:00,Pit_Brk_S,SELL,0,-312,1,4.21,0.51,4.32
2026-04-24,2026-04-24 11:47:00,Pit_Fade_L,BUY,1,494,20,4.21,0.51,6.01
2026-04-28,2026-04-28 20:52:00,Asia_Brk_S,SELL,0,-1035,15,3.7,0.17,1.09
2026-05-01,2026-05-01 00:57:00,Asia_Brk_S,SELL,0,-120,61,5.36,0.18,7.29
2026-05-01,2026-05-01 09:34:00,Pit_Brk_S,SELL,0,-56,1,3.98,0.47,4.89
2026-05-01,2026-05-01 09:35:00,Pit_Fade_L,BUY,0,-1032,20,3.98,0.52,2.04
2026-05-05,2026-05-05 09:09:00,Pit_Brk_S,SELL,0,-585,1,2.51,0.38,4.56
2026-05-05,2026-05-05 09:10:00,Pit_Fade_L,BUY,0,-1035,51,2.51,0.43,2.76
2026-05-06,2026-05-06 21:45:00,Asia_Brk_S,SELL,1,495,16,12.53,0.25,1.93
2026-05-11,2026-05-11 09:50:00,Pit_Fade_L,BUY,1,490,10,2.74,0.46,0.78
2026-05-12,2026-05-12 20:20:00,Asia_Brk_S,SELL,1,495,19,1.83,0.17,3.96
2026-05-14,2026-05-14 02:43:00,Asia_Brk_S,SELL,1,495,0,2.11,0.16,5.72
2026-05-19,2026-05-19 21:51:00,Asia_Brk_S,SELL,0,-1035,40,1.65,0.2,10.56
2026-05-20,2026-05-20 10:17:00,Pit_Brk_S,SELL,0,-1035,0,2.47,0.38,3.31
2026-05-20,2026-05-20 10:23:00,Pit_Fade_L,BUY,1,492,0,2.47,0.52,3.68
2026-05-20,2026-05-20 21:10:00,Asia_Brk_S,SELL,0,-60,61,2.47,0.23,3.7
2026-05-21,2026-05-21 23:12:00,Asia_Brk_S,SELL,1,45,61,4.08,0.17,2.45
2026-05-22,2026-05-22 09:14:00,Pit_Fade_L,BUY,1,494,14,3.78,0.5,5.58
2026-05-26,2026-05-26 20:17:00,Asia_Brk_S,SELL,1,495,45,2.1,0.18,0.61
2026-05-28,2026-05-28 10:13:00,Pit_Brk_S,SELL,1,495,0,1.71,0.27,2.64
2026-05-28,2026-05-28 10:15:00,Pit_Fade_L,BUY,1,492,1,1.71,0.54,3.18
2026-05-28,2026-05-28 20:26:00,Asia_Brk_S,SELL,1,495,0,1.71,0.19,9.76
2026-05-29,2026-05-29 11:10:00,Pit_Fade_L,BUY,0,-392,2,2.33,0.46,1.96
2026-05-29,2026-05-29 11:12:00,Pit_Brk_S,SELL,0,-1036,17,2.33,0.46,2.34
2026-06-01,2026-06-01 21:37:00,Asia_Brk_S,SELL,0,-60,61,2.04,0.26,3.48
2026-06-03,2026-06-03 09:08:00,Pit_Brk_S,SELL,1,495,13,1.68,0.3,4.78
2026-06-05,2026-06-05 09:32:00,Pit_Brk_S,SELL,1,495,29,2.23,0.33,3.22
2026-06-08,2026-06-08 09:33:00,Pit_Fade_L,BUY,1,495,31,4.48,0.41,2.83
2026-06-08,2026-06-08 21:00:00,Asia_Brk_S,SELL,1,495,48,4.48,0.18,1.33
2026-06-09,2026-06-09 09:31:00,Pit_Brk_S,SELL,1,495,14,1.45,0.3,1.95
2026-06-15,2026-06-15 21:50:00,Asia_Brk_S,SELL,1,240,61,1.2,0.16,1.86
2026-06-16,2026-06-16 11:34:00,Pit_Brk_S,SELL,1,495,16,3.72,0.24,3.26
2026-06-17,2026-06-17 02:15:00,Asia_Brk_S,SELL,1,495,19,3.72,0.19,0.51
2026-06-17,2026-06-17 21:22:00,Asia_Brk_S,SELL,1,210,61,2.18,0.17,4.56
2026-06-24,2026-06-24 02:31:00,Asia_Brk_S,SELL,1,495,37,1.61,0.15,0.71
2026-06-24,2026-06-24 09:02:00,Pit_Brk_S,SELL,1,495,14,1.8,0.19,4.26
2026-06-24,2026-06-24 21:23:00,Asia_Brk_S,SELL,1,495,27,1.8,0.16,1.45
2026-06-26,2026-06-26 10:45:00,Pit_Brk_S,SELL,1,495,24,1.58,0.24,2.95
2026-07-01,2026-07-01 11:30:00,Pit_Brk_S,SELL,0,-135,61,1.54,0.19,1.81
2026-07-07,2026-07-07 20:54:00,Asia_Brk_S,SELL,0,-165,61,0.87,0.15,2.25
2026-07-08,2026-07-08 20:37:00,Asia_Brk_S,SELL,1,495,23,3.49,0.15,1.25
