Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL
2026-06-29 13:37:06,MES,SELL,7464.0,7463.5,-0.5,3,28.571,Gap_Fade_S,|Gap:55.25|IBR:34.5|A5:17.53|RV:2.53,APPROVED,-84.0,0.0
2026-06-29 14:05:56,MES,BUY,7445.75,0.0,0.0,3,N/A,Gap_Fade_S,N/A,CLOSED_BY_BRACKET,179.25,263.25
2026-06-29 15:14:09,MNQ,BUY,29675.5,0.0,0.0,1,250.0,Test_Pipeline,Auditoria_TV,REJECTED_API_405,179.25,0.0
2026-06-29 16:11:25,MNQ,BUY,29698.75,29698.75,0.0,1,250.0,Test_Pipeline,Auditoria_TV,APPROVED_TRUNCATED_ASSUMED,179.25,0.0
2026-06-29 16:29:59,MNQ,LIQUIDATE,0.0,0.0,0.0,1,N/A,Test_Pipeline,Auditoria_TV,CLOSED_BY_BRACKET,178.75,-0.5
2026-06-29 16:32:49,MNQ,BUY,29861.75,29861.75,0.0,1,250.0,Test_Pipeline,Auditoria_TV,APPROVED_TRUNCATED_ASSUMED,178.75,0.0
2026-06-29 23:54:08,MNQ,SELL,30016.0,0.0,0.0,1,N/A,Test_Pipeline,N/A,FAILED_CLOSE,-282.0,0.0
2026-06-30 11:42:05,MCL,BUY,70.86,0.0,0.0,0,0.667,Lon_Brk_L,|Rng:1.11|A5:0.14|RV:0.85,REJECTED_INSUFFICIENT_DD,-867.0,0.0
2026-06-30 12:16:11,MCL,SELL,71.29,0.0,0.0,1,N/A,Unknown_Engine,N/A,CLOSED_BY_BRACKET,-867.0,0.0
2026-06-30 12:57:06,MGC,SELL,4024.9,0.0,0.0,0,6.822,Lon_BO_S_E,|Rng:26.1|A5:4.55|RV:1.73|VwP:0.38|RSI:31.45,REJECTED_INSUFFICIENT_DD,-867.0,0.0
2026-06-30 13:00:30,MGC,BUY,4031.9,0.0,0.0,1,N/A,Unknown_Engine,N/A,CLOSED_BY_BRACKET,-867.0,0.0
2026-06-30 13:58:02,MNQ,BUY,20000.5,0.0,0.0,0,500.0,E2E_TV_TEST,Auditoria_Extremo_A_Extremo,REJECTED_INSUFFICIENT_DD,-867.0,0.0
2026-06-30 14:01:30,MNQ,BUY,20000.5,0.0,0.0,0,50.0,Test_Real,Auditoria_Final,REJECTED_INSUFFICIENT_DD,-867.0,0.0
2026-06-30 14:07:05,MES,SELL,7526.25,0.0,0.0,0,13.333,AM10_Swp_S,|Gap:0.25|IBR:37|A5:7.76|RV:1.08,REJECTED_INSUFFICIENT_DD,-867.0,0.0
2026-06-30 14:32:07,MES,BUY,7540.0,0.0,0.0,1,N/A,Unknown_Engine,N/A,CLOSED_BY_BRACKET,-867.0,0.0
2026-06-30 14:54:20,MNQ,BUY,20000.5,20000.5,0.0,2,50.0,Test_Sanacion,Auditoria_Candado,APPROVED_SCALED_DOWN_ASSUMED,531.0,0.0
2026-06-30 15:17:30,MNQ,SELL,20010.5,0.0,0.0,4,N/A,PIPELINE_TV_TEST,Prueba_Pase_Libre,CLOSED_BY_BRACKET,525.0,-6.0
2026-06-30 15:17:46,MNQ,BUY,20000.5,20000.5,0.0,4,20.0,PIPELINE_TV_TEST,Prueba_Pase_Libre,APPROVED_SCALED_DOWN_ASSUMED,531.0,0.0
2026-06-30 15:47:13,MNQ,SELL,30440.25,30440.25,0.0,2,10.0,E2E_REAL_TEST,Prueba_Venta_Real,APPROVED,525.0,0.0
2026-06-30 15:48:39,MNQ,BUY,0.0,0.0,0.0,2,N/A,E2E_REAL_TEST,Prueba_Venta_Real,CLOSED_BY_BRACKET,527.0,2.0
2026-06-30 19:15:05,MNQ,SELL,30590.25,30590.25,0.0,3,35.714,PH_Rev_S,|Gap:6|IBR:393.25|A5:23.18|RV:1.17|VwP:0.67|RSI:71.56|Hr:15|DoW:2,APPROVED_SCALED_DOWN,527.0,0.0
2026-06-30 19:26:51,MNQ,BUY,30567.5,0.0,0.0,3,N/A,PH_Rev_S,N/A,CLOSED_BY_BRACKET,656.0,129.0
2026-07-01 00:32:05,MNQ,BUY,30543.0,30543.0,0.0,5,32.5,Tokyo_L,|A5:21.03|RV:0.79|Vw:0.06|NKD:1,APPROVED,0.0,0.0
2026-07-01 01:04:42,MNQ,SELL,30509.5,0.0,0.0,5,N/A,Tokyo_L,N/A,CLOSED_BY_BRACKET,-316.0,-316.0
2026-07-01 13:46:14,MES,BUY,7520.0,7520.0,0.0,7,13.333,Gap_Fade_L,|Gap:16.25|IBR:28|A5:8.52|RV:1.24,APPROVED,-316.0,0.0
2026-07-01 13:51:58,MES,SELL,7528.5,0.0,0.0,7,N/A,Gap_Fade_L,N/A,CLOSED_BY_BRACKET,-139.25,176.75
