Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module,Is_Win,Regime_Label,Vw,NKD,Entry_Price,Exit_Price,Regime_Executed,Unified_Regime
2023-08-30 09:55:00,MNQ_DAY,BUY,15464.5,15464.5,0.0,7.0,,Ext_ORB_L,0.0,{},CLOSED_LOSS,-983.5,-983.5,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-08-31 10:09:00,MNQ_DAY,BUY,15559.75,15559.75,0.0,13.0,,AE_L,0.0,{},CLOSED_WIN,624.0,624.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-05 10:49:00,MNQ_DAY,BUY,15510.75,15510.75,0.0,13.0,,Retest_L_E,0.0,{},CLOSED_WIN,624.0,624.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-06 15:07:00,MNQ_DAY,BUY,15353.0,15353.0,0.0,15.0,,PH_Rev_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-07 09:42:00,MNQ_DAY,BUY,15226.25,15226.25,0.0,5.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-07 10:35:00,MES,BUY,4435.0,4435.0,0.0,15.0,,IB_Fade_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-09-08 10:03:00,MNQ_DAY,BUY,15352.25,15352.25,0.0,14.0,,AE_L,0.0,{},CLOSED_WIN,623.0,623.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-08 10:31:00,MES,BUY,4477.25,4477.25,0.0,15.0,,IB_L,0.0,{},CLOSED_LOSS,-1046.25,-1046.25,,,,,,,,,,,MES,0,,,,,,,
2023-09-13 10:41:00,MNQ_DAY,BUY,15565.25,15565.25,0.0,12.0,,IB_L,0.0,{},CLOSED_WIN,624.0,624.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-18 09:58:00,MNQ_DAY,BUY,15413.75,15413.75,0.0,14.0,,AE_L,0.0,{},CLOSED_WIN,623.0,623.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-18 10:17:00,MES,BUY,4500.25,4500.25,0.0,15.0,,Retest_L_E,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-09-19 11:28:00,MNQ_DAY,BUY,15276.25,15276.25,0.0,15.0,,Box_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-20 03:27:00,MCL,SELL,89.29,89.29,0.0,15.0,,Lon_Brk_S,0.0,{},CLOSED_LOSS,-1035.0,-1035.0,,,,,,,,,,,MCL,0,,,,,,,
2023-09-20 14:02:00,MNQ_DAY,BUY,15310.75,15310.75,0.0,15.0,,PH_Rev_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-21 09:51:00,MNQ_DAY,SELL,14951.0,14951.0,0.0,6.0,,Ext_ORB_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-21 10:31:00,MES,SELL,4404.75,4404.75,0.0,15.0,,Grind_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-09-25 09:41:00,MNQ_DAY,BUY,14859.0,14859.0,0.0,4.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,448.0,448.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-26 03:03:00,MCL,SELL,88.65,88.65,0.0,15.0,,Lon_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-09-27 04:17:00,MCL,BUY,91.5,91.5,0.0,15.0,,Lon_Brk_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-09-28 04:31:00,MCL,SELL,93.62,93.62,0.0,15.0,,Lon_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-09-28 10:31:00,MNQ_DAY,BUY,14702.25,14702.25,0.0,9.0,,Grind_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-09-29 09:48:00,MCL,SELL,91.37,91.37,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-03 09:51:00,MNQ_DAY,BUY,14941.0,14941.0,0.0,6.0,,Ext_ORB_L,0.0,{},CLOSED_LOSS,-1041.0,-1041.0,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-10-03 10:41:00,MES,BUY,4274.75,4274.75,0.0,15.0,,IB_Fade_L,0.0,{},CLOSED_LOSS,-1046.25,-1046.25,,,,,,,,,,,MES,0,,,,,,,
2023-10-04 09:35:00,MCL,SELL,86.86,86.86,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-04 09:39:00,MNQ_DAY,BUY,14825.5,14825.5,0.0,4.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,632.0,632.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-05 14:04:00,MNQ_DAY,SELL,14876.0,14876.0,0.0,15.0,,PH_Rev_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-06 10:31:00,MNQ_DAY,BUY,14860.25,14860.25,0.0,8.0,,IB_L,0.0,{},CLOSED_WIN,628.0,628.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-08 21:01:00,MCL,BUY,86.69,86.69,0.0,15.0,,Asia_Brk_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-09 09:43:00,MNQ_DAY,BUY,15021.5,15021.5,0.0,5.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-10 10:35:00,MCL,SELL,85.26,85.26,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_LOSS,-1035.0,-1035.0,,,,,,,,,,,MCL,0,,,,,,,
2023-10-10 13:06:00,MNQ_DAY,SELL,15285.75,15285.75,0.0,15.0,,Box_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-11 09:27:00,MCL,SELL,84.94,84.94,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-12 12:50:00,MNQ_DAY,SELL,15441.0,15441.0,0.0,15.0,,M4_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-16 10:10:00,MNQ_DAY,BUY,15241.5,15241.5,0.0,10.0,,AE_L,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-17 10:36:00,MNQ_DAY,BUY,15212.5,15212.5,0.0,10.0,,IB_L,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-17 11:25:00,MCL,SELL,86.22,86.22,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-18 05:24:00,MCL,BUY,87.91,87.91,0.0,15.0,,Lon_Brk_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-18 10:31:00,MNQ_DAY,BUY,15146.25,15146.25,0.0,10.0,,Grind_L,0.0,{},CLOSED_LOSS,-1030.0,-1030.0,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-10-19 10:18:00,MNQ_DAY,SELL,15061.25,15061.25,0.0,10.0,,AE_S,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-20 10:31:00,MNQ_DAY,SELL,14756.25,14756.25,0.0,9.0,,Grind_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-24 09:25:00,MCL,SELL,85.03,85.03,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-24 10:31:00,MNQ_DAY,BUY,14846.5,14846.5,0.0,9.0,,Grind_L,0.0,{},CLOSED_LOSS,-1030.5,-1030.5,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-10-25 09:46:00,MES,SELL,4231.5,4231.5,0.0,15.0,,Gap_Fade_S,0.0,{},CLOSED_LOSS,-1046.25,-1046.25,,,,,,,,,,,MES,0,,,,,,,
2023-10-25 09:57:00,MNQ_DAY,SELL,14641.75,14641.75,0.0,9.0,,AE_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-26 09:40:00,MNQ_DAY,SELL,14369.25,14369.25,0.0,3.0,,Ext_ORB_S,0.0,{},CLOSED_WIN,633.0,633.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-27 04:19:00,MCL,BUY,84.87,84.87,0.0,15.0,,Lon_Brk_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-27 10:31:00,MES,SELL,4159.75,4159.75,0.0,15.0,,Grind_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-10-27 10:31:00,MNQ_DAY,BUY,14324.5,14324.5,0.0,8.0,,Grind_L,0.0,{},CLOSED_WIN,628.0,628.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-10-31 09:31:00,MCL,SELL,82.35,82.35,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-10-31 09:59:00,MNQ_DAY,SELL,14340.0,14340.0,0.0,13.0,,AE_S,0.0,{},CLOSED_LOSS,-1040.0,-1040.0,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-10-31 12:10:00,MGC,BUY,1999.6,1999.6,0.0,15.0,,LP_Rev_L,0.0,{},CLOSED_LOSS,-570.0,-570.0,,,,,,,,,,,MGC,0,,,,,,,
2023-11-01 10:14:00,MNQ_DAY,BUY,14564.75,14564.75,0.0,13.0,,AE_L,0.0,{},CLOSED_WIN,624.0,624.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-02 10:31:00,MNQ_DAY,BUY,14930.75,14930.75,0.0,10.0,,Grind_L,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-02 11:33:00,MGC,BUY,1987.7,1987.7,0.0,15.0,,LP_Rev_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MGC,1,,,,,,,
2023-11-03 09:46:00,MNQ_DAY,BUY,15107.25,15107.25,0.0,6.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-03 13:02:00,MCL,BUY,80.72,80.72,0.0,15.0,,PM_Fade_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-11-06 10:42:00,MNQ_DAY,BUY,15244.0,15244.0,0.0,14.0,,Retest_L_E,0.0,{},CLOSED_LOSS,-1043.0,-1043.0,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-11-07 03:02:00,MCL,SELL,79.67,79.67,0.0,15.0,,Lon_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-11-07 10:18:00,MNQ_DAY,BUY,15296.0,15296.0,0.0,15.0,,Retest_L_E,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-08 10:55:00,MCL,SELL,75.84,75.84,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-11-09 12:16:00,MNQ_DAY,SELL,15404.5,15404.5,0.0,15.0,,M4_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-09 12:16:00,MES,SELL,4398.25,4398.25,0.0,15.0,,M4_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-11-10 09:31:00,MNQ_DAY,BUY,15311.0,15311.0,0.0,15.0,,Gap_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-13 10:47:00,MES,BUY,4420.5,4420.5,0.0,15.0,,IB_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-11-13 10:47:00,MNQ_DAY,BUY,15542.5,15542.5,0.0,15.0,,IB_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-14 09:56:00,MNQ_DAY,BUY,15849.5,15849.5,0.0,10.0,,AE_L,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-14 12:22:00,MES,SELL,4502.5,4502.5,0.0,15.0,,M4_S,0.0,{},CLOSED_LOSS,-1046.25,-1046.25,,,,,,,,,,,MES,0,,,,,,,
2023-11-15 09:54:00,MNQ_DAY,SELL,15907.75,15907.75,0.0,8.0,,Ext_ORB_S,0.0,{},CLOSED_WIN,628.0,628.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-16 11:46:00,MNQ_DAY,BUY,15828.0,15828.0,0.0,14.0,,Box_L,0.0,{},CLOSED_WIN,623.0,623.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-16 13:01:00,MCL,BUY,72.6,72.6,0.0,15.0,,PM_Fade_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-11-17 11:07:00,MNQ_DAY,BUY,15830.5,15830.5,0.0,15.0,,Box_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-20 05:56:00,MCL,BUY,76.93,76.93,0.0,15.0,,Lon_Brk_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MCL,1,,,,,,,
2023-11-20 10:48:00,MES,BUY,4543.5,4543.5,0.0,15.0,,IB_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-11-20 11:01:00,MNQ_DAY,BUY,16006.75,16006.75,0.0,15.0,,IB_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-21 10:34:00,MES,BUY,4539.5,4539.5,0.0,15.0,,IB_Fade_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
2023-11-22 10:03:00,MCL,SELL,73.9,73.9,0.0,15.0,,Pit_Brk_S,0.0,{},CLOSED_LOSS,-1035.0,-1035.0,,,,,,,,,,,MCL,0,,,,,,,
2023-11-22 14:25:00,MNQ_DAY,SELL,16080.25,16080.25,0.0,15.0,,M4_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-11-24 10:03:00,MES,SELL,4568.75,4568.75,0.0,15.0,,OR_Fake_S,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
