Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2025-05-28,2025-05-28 04:15:00,Lon_Viper_L,BUY,0,-825,7,16.5,3.51,2.08
2025-06-02,2025-06-02 00:57:00,Asia_Bullet_L,BUY,1,300,17,0.0,2.2,5.85
2025-06-05,2025-06-05 11:49:00,V2_Rev_L,BUY,1,117,46,39.1,6.78,2.07
2025-06-11,2025-06-11 08:31:00,COMEX_Swp_S_E,SELL,0,-840,2,23.2,3.55,11.78
2025-06-12,2025-06-12 01:22:00,Asia_Bullet_L,BUY,1,300,12,0.0,2.2,1.88
2025-06-12,2025-06-12 20:02:00,Asia_Bullet_L,BUY,1,315,0,0.0,2.31,3.61
2025-06-13,2025-06-13 08:28:00,COMEX_Swp_S_E,SELL,0,-810,9,19.9,3.43,1.62
2025-06-30,2025-06-30 00:51:00,Asia_Bullet_L,BUY,1,300,14,0.0,2.2,9.49
2025-07-28,2025-07-28 02:41:00,Asia_Bullet_L,BUY,1,285,16,0.0,2.1,1.12
2025-08-01,2025-08-01 08:22:00,COMEX_Swp_S_E,SELL,1,315,6,19.8,2.3,4.03
2025-08-25,2025-08-25 20:14:00,Asia_Bullet_L,BUY,1,375,0,0.0,2.63,2.46
2025-09-04,2025-09-04 20:01:00,Asia_Bullet_L,BUY,0,-615,5,0.0,2.6,2.11
2025-09-08,2025-09-08 04:23:00,Lon_Viper_L,BUY,0,-750,4,21.5,3.17,4.87
2025-09-11,2025-09-11 08:31:00,COMEX_Swp_S_E,SELL,0,-675,0,19.3,2.81,18.29
2025-09-17,2025-09-17 08:58:00,COMEX_Swp_S_E,SELL,1,375,3,19.0,2.69,1.48
2025-09-22,2025-09-22 04:27:00,Lon_Viper_L,BUY,1,420,50,11.6,2.96,1.7
2025-10-01,2025-10-01 04:01:00,Lon_Viper_L,BUY,1,570,3,22.6,4.02,1.65
2025-10-02,2025-10-02 11:39:00,V2_Rev_L,BUY,1,576,3,26.0,7.57,2.03
2025-10-06,2025-10-06 04:54:00,Lon_Viper_L,BUY,0,-990,30,20.1,4.24,1.63
2025-10-06,2025-10-06 20:33:00,Asia_Bullet_L,BUY,0,-900,6,0.0,3.82,1.16
2025-10-08,2025-10-08 04:07:00,Lon_Viper_L,BUY,0,-855,53,10.3,3.65,4.65
2025-10-09,2025-10-09 08:48:00,COMEX_Swp_S_E,SELL,1,465,1,22.7,3.33,2.7
2025-10-09,2025-10-09 20:12:00,Asia_Bullet_L,BUY,0,-966,49,0.0,4.45,1.34
2025-10-10,2025-10-10 05:09:00,Lon_Viper_L,BUY,1,615,5,45.1,4.33,4.23
2025-10-13,2025-10-13 01:10:00,Asia_Bullet_L,BUY,1,555,10,0.0,3.95,9.74
2025-10-13,2025-10-13 04:53:00,Lon_Viper_L,BUY,0,-1020,33,12.0,4.35,2.54
2025-10-13,2025-10-13 09:07:00,COMEX_Swp_S_E,SELL,0,-945,8,18.3,4.01,1.45
2025-10-13,2025-10-13 21:12:00,Asia_Bullet_L,BUY,1,616,3,0.0,4.65,5.48
2025-10-14,2025-10-14 20:12:00,Asia_Bullet_L,BUY,0,-945,14,0.0,4.05,1.61
2025-10-15,2025-10-15 04:07:00,Lon_Viper_L,BUY,1,525,3,17.3,3.75,2.5
2025-10-16,2025-10-16 02:06:00,Asia_Bullet_L,BUY,1,610,11,0.0,6.5,1.17
2025-10-17,2025-10-17 12:31:00,V2_Rev_L,BUY,0,-824,31,76.3,13.54,3.0
2025-10-20,2025-10-20 08:00:00,Lon_Viper_L,BUY,1,576,18,47.9,5.13,6.9
2025-10-21,2025-10-21 23:38:00,Asia_Bullet_L,BUY,1,558,10,0.0,9.78,2.48
2025-10-23,2025-10-23 02:05:00,Asia_Bullet_L,BUY,1,627,5,0.0,6.06,5.26
2025-10-23,2025-10-23 21:04:00,Asia_Bullet_L,BUY,1,611,4,0.0,4.95,3.57
2025-10-27,2025-10-27 20:51:00,Asia_Bullet_L,BUY,1,576,9,0.0,6.75,1.43
2025-10-28,2025-10-28 20:05:00,Asia_Bullet_L,BUY,1,594,35,0.0,6.94,2.32
2025-10-29,2025-10-29 08:16:00,COMEX_Swp_S_E,SELL,1,583,1,55.0,5.59,3.67
2025-10-30,2025-10-30 01:33:00,Asia_Bullet_L,BUY,1,600,8,0.0,7.95,1.39
2025-10-31,2025-10-31 12:16:00,V2_Rev_L,BUY,1,553,8,28.6,8.38,5.17
2025-11-03,2025-11-03 00:07:00,Asia_Bullet_L,BUY,1,616,1,0.0,4.66,1.49
2025-11-04,2025-11-04 20:05:00,Asia_Bullet_L,BUY,1,624,36,0.0,5.53,1.6
2025-11-06,2025-11-06 01:48:00,Asia_Bullet_L,BUY,1,375,3,0.0,2.71,2.82
2025-11-06,2025-11-06 12:26:00,V2_Rev_L,BUY,1,627,10,16.8,6.02,2.37
2025-11-06,2025-11-06 20:06:00,Asia_Bullet_L,BUY,1,405,4,0.0,2.91,2.54
2025-11-07,2025-11-07 04:01:00,Lon_Viper_L,BUY,0,-750,32,8.7,3.18,3.42
2025-11-10,2025-11-10 07:00:00,Lon_Viper_L,BUY,1,465,7,15.7,3.3,3.75
2025-11-10,2025-11-10 20:03:00,Asia_Bullet_L,BUY,0,-735,4,0.0,3.12,1.92
2025-11-13,2025-11-13 01:03:00,Asia_Bullet_L,BUY,1,377,61,0.0,4.83,2.94
2025-11-13,2025-11-13 20:55:00,Asia_Bullet_L,BUY,1,610,26,0.0,6.45,2.44
2025-11-19,2025-11-19 04:47:00,Lon_Viper_L,BUY,1,615,1,26.6,4.32,6.49
2025-11-24,2025-11-24 21:20:00,Asia_Bullet_L,BUY,1,624,24,0.0,5.12,3.35
2025-11-25,2025-11-25 20:09:00,Asia_Bullet_L,BUY,1,570,29,0.0,4.08,3.09
2025-11-26,2025-11-26 06:33:00,Lon_Viper_L,BUY,0,-780,17,18.7,3.32,9.83
2025-11-27,2025-11-27 20:01:00,Asia_Bullet_L,BUY,1,465,1,19.2,3.28,3.81
2025-12-01,2025-12-01 01:47:00,Asia_Bullet_L,BUY,0,-962,34,0.0,4.77,1.82
2025-12-01,2025-12-01 05:05:00,Lon_Viper_L,BUY,0,-1008,16,22.1,4.66,7.38
2025-12-03,2025-12-03 11:59:00,V2_Rev_L,BUY,1,610,9,20.0,6.48,2.24
2025-12-04,2025-12-04 09:16:00,COMEX_Swp_S_E,SELL,0,-1036,17,24.4,4.75,1.66
2025-12-08,2025-12-08 00:34:00,Asia_Bullet_L,BUY,1,360,1,0.0,2.6,5.44
2025-12-10,2025-12-10 09:12:00,COMEX_Swp_S_E,SELL,1,510,8,19.5,3.62,1.81
2025-12-11,2025-12-11 09:09:00,COMEX_Swp_S_E,SELL,0,-975,15,18.1,4.19,2.73
2025-12-12,2025-12-12 04:02:00,Lon_Viper_L,BUY,1,465,9,25.5,3.36,1.62
2025-12-15,2025-12-15 04:33:00,Lon_Viper_L,BUY,0,-735,11,12.2,3.1,1.87
2025-12-18,2025-12-18 12:13:00,V2_Rev_L,BUY,1,602,20,15.0,9.07,2.04
2025-12-22,2025-12-22 20:26:00,Asia_Bullet_L,BUY,1,611,1,0.0,5.03,1.33
2025-12-25,2025-12-25 20:01:00,Asia_Bullet_L,BUY,1,598,3,0.0,4.93,6.42
2025-12-29,2025-12-29 20:51:00,Asia_Bullet_L,BUY,1,594,12,0.0,6.95,1.56
